T,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
2.910000e+02,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,0.000000e+00
3.027204e+02,3.279959e-08,4.032142e-34,1.120057e-28,2.313599e-01,5.780103e-29,7.142148e-04,1.452750e-14,1.271249e-05,1.938672e-39,1.000000e-60,1.662311e-37,4.042370e-40,1.262191e-23,1.699199e-03,4.059137e-04,2.312619e-04,5.538096e-29,5.843271e-06,3.310320e-33,8.575332e-32,1.496779e-06,1.000000e-60,1.564246e-08,1.268199e-33,3.088580e-06,1.763440e-28,2.284910e-06,1.531434e-36,4.655873e-11,4.099003e-13,1.000000e-60,1.000000e-60,2.133656e-39,1.858016e-24,1.000000e-60,1.000000e-60,1.763077e-21,1.323280e-13,1.000000e-60,1.000000e-60,2.150373e-27,1.509785e-45,1.000000e-60,8.009930e-33,1.272357e-31,6.987752e-22,1.000000e-60,7.655629e-01,1.000000e-60,4.530577e-24,1.052547e-06,9.346167e-32,4.633235e-15,1.296518e-02
3.142370e+02,6.524549e-08,8.095314e-33,5.636204e-28,2.298542e-01,5.213832e-28,1.420728e-03,3.464318e-14,2.528789e-05,6.207463e-39,1.000000e-60,2.175171e-36,1.000000e-60,9.076538e-23,3.380074e-03,8.074503e-04,4.600301e-04,5.776694e-28,1.162353e-05,5.309705e-32,1.500739e-30,2.977418e-06,1.000000e-60,3.111624e-08,1.435900e-32,6.143855e-06,1.838638e-27,4.545181e-06,1.932575e-35,9.261541e-11,8.153805e-13,1.000000e-60,1.000000e-60,6.142011e-39,3.695998e-24,1.000000e-60,1.000000e-60,3.507143e-21,2.632290e-13,1.000000e-60,5.637629e-57,4.277559e-27,4.507197e-45,1.000000e-60,1.593349e-32,2.530995e-31,1.390015e-21,1.000000e-60,7.640248e-01,1.000000e-60,2.532900e-23,2.093745e-06,1.061198e-30,9.216508e-15,2.579055e-02
3.254379e+02,9.701604e-08,8.233660e-32,2.008785e-27,2.283797e-01,3.195047e-27,2.112535e-03,6.283109e-14,3.760154e-05,6.922645e-36,1.780105e-39,1.346823e-35,1.418922e-39,4.628406e-22,5.025963e-03,1.200629e-03,6.840365e-04,3.187614e-27,1.728348e-05,4.307683e-31,1.382687e-29,4.427238e-06,6.305422e-38,4.626794e-08,8.548903e-32,9.135536e-06,1.011950e-26,6.758406e-06,1.149636e-34,1.377134e-10,1.212421e-12,2.565237e-43,2.965472e-45,2.604687e-39,5.495721e-24,6.174523e-40,1.000000e-60,5.214906e-21,3.914054e-13,6.849956e-44,1.000000e-60,6.360467e-27,1.023751e-44,1.319148e-39,2.369212e-32,3.763434e-31,2.066867e-21,1.000000e-60,7.625186e-01,1.000000e-60,1.002751e-22,3.113270e-06,6.335473e-30,1.370438e-14,3.834897e-02
3.362771e+02,1.279683e-07,6.062091e-31,6.016664e-27,2.269433e-01,1.595567e-26,2.786524e-03,1.024335e-13,4.959804e-05,2.441051e-36,5.187089e-39,5.720490e-35,1.000000e-60,1.973743e-21,6.629459e-03,1.583681e-03,9.022733e-04,1.313330e-26,2.279765e-05,2.512955e-30,9.386397e-29,5.839716e-06,1.777822e-38,6.102938e-08,3.783585e-31,1.205016e-05,4.151796e-26,8.914625e-06,5.183173e-34,1.816499e-10,1.599235e-12,1.221129e-43,1.547359e-46,1.000000e-60,7.249091e-24,9.679341e-39,1.000000e-60,6.878683e-21,5.162804e-13,1.674872e-43,1.000000e-60,8.389727e-27,1.841447e-44,1.478705e-39,3.125091e-32,4.964129e-31,2.726287e-21,1.000000e-60,7.610513e-01,1.000000e-60,3.356220e-22,4.106536e-06,2.809610e-29,1.807666e-14,5.058392e-02
3.467661e+02,1.581226e-07,3.669682e-30,1.622919e-26,2.255439e-01,7.040819e-26,3.443138e-03,1.584197e-13,6.128528e-05,1.000000e-60,1.000000e-60,2.090684e-34,1.000000e-60,7.559546e-21,8.191620e-03,1.956858e-03,1.114884e-03,4.541578e-26,2.816967e-05,1.191993e-29,5.336609e-28,7.215781e-06,1.000000e-60,7.541029e-08,1.403090e-30,1.488965e-05,1.428010e-25,1.101526e-05,1.958261e-33,2.244537e-10,1.976077e-12,8.886857e-44,1.245983e-44,4.871622e-40,8.957261e-24,8.007276e-38,2.929999e-30,8.499570e-21,6.379363e-13,2.707399e-44,6.799314e-39,1.036668e-26,4.179692e-44,1.000000e-60,3.861485e-32,6.133873e-31,3.368733e-21,1.025629e-28,7.596217e-01,1.000000e-60,1.016961e-21,5.074196e-06,1.044090e-28,2.233623e-14,6.250348e-02
3.569292e+02,1.875364e-07,1.977334e-29,4.091717e-26,2.241788e-01,2.896443e-25,4.083626e-03,2.384726e-13,7.268548e-05,8.642576e-38,2.303921e-39,6.758692e-34,1.000000e-60,2.729195e-20,9.715414e-03,2.320870e-03,1.322274e-03,1.396788e-25,3.340975e-05,4.899375e-29,2.740224e-27,8.558051e-06,1.755501e-38,8.943801e-08,4.640358e-30,1.765940e-05,4.365295e-25,1.306430e-05,6.621677e-33,2.662063e-10,2.343664e-12,2.412594e-44,1.000000e-60,1.702579e-39,1.062348e-23,5.774732e-37,5.337241e-30,1.008065e-20,7.566043e-13,3.248106e-43,1.488701e-38,1.229507e-26,9.174174e-44,2.612169e-39,4.579793e-32,7.274887e-31,3.995390e-21,1.209217e-28,7.582273e-01,1.000000e-60,2.912372e-21,6.018091e-06,3.460428e-28,2.649119e-14,7.413029e-02
3.667879e+02,2.162602e-07,9.935632e-29,9.930593e-26,2.228458e-01,1.148534e-24,4.709090e-03,3.546821e-13,8.381826e-05,1.000000e-60,1.000000e-60,2.038266e-33,1.198063e-38,9.581637e-20,1.120346e-02,2.676343e-03,1.524798e-03,3.954654e-25,3.852691e-05,1.815756e-28,1.331309e-26,9.868834e-06,1.000000e-60,1.031367e-07,1.427560e-29,2.036418e-05,1.228280e-24,1.506528e-05,2.098787e-32,3.069794e-10,2.702629e-12,3.924067e-43,1.000000e-60,5.152586e-39,1.225061e-23,3.774254e-36,3.140116e-30,1.162464e-20,8.724886e-13,1.000000e-60,2.885325e-50,1.417823e-26,2.016206e-43,1.000000e-60,5.281252e-32,8.389136e-31,4.607331e-21,6.522693e-31,7.568656e-01,1.000000e-60,8.161650e-21,6.939845e-06,1.067000e-27,3.054868e-14,8.548436e-02
3.763613e+02,2.443391e-07,4.749702e-28,2.388242e-25,2.215427e-01,4.443379e-24,5.320512e-03,5.264268e-13,9.470112e-05,2.727180e-36,1.000000e-60,5.943081e-33,5.278330e-40,3.310184e-19,1.265811e-02,3.023837e-03,1.722776e-03,1.054863e-24,4.352920e-05,6.239056e-28,6.254817e-26,1.115019e-05,1.000000e-60,1.165278e-07,4.233179e-29,2.300824e-05,3.258188e-24,1.702134e-05,6.489259e-32,3.468372e-10,3.053534e-12,1.000000e-60,1.000000e-60,1.534573e-38,1.384121e-23,2.296863e-35,1.826886e-30,1.313397e-20,9.857714e-13,3.794203e-43,8.288004e-53,1.601911e-26,4.490540e-43,1.000000e-60,5.966963e-32,9.478371e-31,5.205533e-21,2.708300e-33,7.555345e-01,1.000000e-60,2.303413e-20,7.840905e-06,3.172369e-27,3.451508e-14,9.658354e-02
3.856653e+02,2.718098e-07,2.160233e-27,5.852293e-25,2.202678e-01,1.668498e-23,5.918689e-03,7.852925e-13,1.053482e-04,1.000000e-60,1.000000e-60,1.732447e-32,3.099620e-38,1.119818e-18,1.408124e-02,3.363802e-03,1.916465e-03,2.695435e-24,4.842312e-05,2.028239e-27,2.849716e-25,1.240379e-05,3.169604e-38,1.296289e-07,1.250489e-28,2.559503e-05,8.293114e-24,1.893502e-05,2.021720e-31,3.858316e-10,3.396839e-12,1.000000e-60,2.931640e-45,4.504014e-38,1.539736e-23,1.304916e-34,1.121375e-30,1.461060e-20,1.096600e-12,7.547236e-44,1.000000e-60,1.782010e-26,1.004849e-42,1.000000e-60,6.637819e-32,1.054401e-30,5.790777e-21,8.926429e-36,7.542322e-01,1.000000e-60,6.656014e-20,8.722447e-06,9.399409e-27,3.839556e-14,1.074423e-01
